ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At,Question Type
157,Advanced Java Features,Threads,"Which interface must be implemented to create a thread in Java?",Runnable,Thread,Callable,Executor,,A,"The Runnable interface must be implemented to create a thread.",,single
Thread is a class, not an interface.",2025-06-20 19:33:21
158,Java Basics,Main Method,"What is the return type of the main() method?",void,int,String,Object,,A,"The main method must have a void return type as specified in the Java Language Specification.",2025-06-20 19:33:21,single
159,Using Operators and Decision Constructs,Operators,"What will the following code print?
```java
public class Q21 {
    public static void main(String[] args) {
        int x = 20;
        int y = 1;
        System.out.println(x + y);
    }
}
```",21,22,20,19,,A,The code adds 20 + 1 = 21 and prints the result.,2025-06-20 19:33:21
160,Working with Inheritance,Interfaces,"Which of the following method declarations can be included in an interface?",static void print() { System.out.println(""interface""); },static abstract void print(),default abstract void print(),default String toString() { return ""a""; },None of above,A,"Interfaces can have static methods with implementation (since Java 8).",,single
Static methods cannot be abstract, and default methods cannot be abstract either.
Option A is valid - a static method with implementation.",2025-06-20 19:33:21
161,Using Operators and Decision Constructs,Comparison Operators,"What will the following code print?
```java
public class Q22 {
    public static void main(String[] args) {
        boolean result = (5 > 3);
        System.out.println(result);
    }
}
```",true,false,Compilation Error,Runtime Exception,,A,"The expression (5 > 3) evaluates to true, which is then printed.",2025-06-20 19:33:21
162,Using Operators and Decision Constructs,Bitwise Operators,"What will the following code print?
```java
public class Q24 {
    public static void main(String[] args) {
        int a = 10;  // 1010 in binary
        int b = 6;   // 0110 in binary  
        System.out.println(a & b);
    }
}
```",10,8,7,2,,D,Bitwise AND of 1010 & 0110 = 0010 = 2 in decimal.,2025-06-20 19:33:21
163,Using Operators and Decision Constructs,Logical Operators,"What will the following code print?
```java
public class Q23 {
    public static void main(String[] args) {
        boolean a = true;
        boolean b = false;
        System.out.println(a && !b);
    }
}
```",true,false,Compilation Error,Runtime Exception,,A,The expression evaluates as: true && !false = true && true = true.,2025-06-20 19:33:21
164,Working with Selected classes from the Java API,String Class,"What will the following code print?
```java
public class Q26 {
    public static void main(String[] args) {
        String s = null;
        String result = s + ""world"";
        System.out.println(result);
    }
}
```",world,nullworld,Compilation Error,NullPointerException,,B,"When concatenating with null, Java converts null to the string ""null"", resulting in ""nullworld"".",2025-06-20 19:33:21
165,Using Operators and Decision Constructs,Switch Statement,"Which of the following is not allowed in a switch statement?",int,String,boolean,char,,C,"Switch statements don't support boolean type directly.",,single
They support int, char, String (since Java 7), and enum types.",2025-06-20 19:33:21
